Line #,Designator,Value,Description,Quantity,FabGroup,FabOrder

"","C22","100pF","Ceramic cap size 0805","1","",""
"","C23, C24","100nF","Ceramic cap size 1206 C1206C104K1RACTU","2","",""
"","C25","22pF","Ceramic cap size 0805","1","",""
"","FB1, FB2","40mR, 3A 25%","0805, 60O, 3A, 25% SMT","2","",""
"","J5","","3.5mm Jack 4-pole with normally closed switches","1","",""
"","J6","","3.5mm Jack 4-pole with normally closed switches","1","",""
"","L1","2.2uH","Shielded Power Inductor 2.2 uH 20% 2.2 A 50.4 mohms 3.11 A (sat) 60MHz 
4018: 4x4x1.8mm","1","DCDC converter","2"
"","Q1","","Dual N-channel Enhancement mode power MOSFET","1","",""
"","Q2","","MJD210 PNP BJT transistor DPAK (decawatt) 5A dc","1","",""
"","Q6","","65 V, 100 mA PNP general-purpose transistor","1","",""
"","R1","150K","Res size 0805 SMD mounting, low power
Yageo-RC0805FR-07150KL","1","",""
"","R8","1.2K","Res size 0603 SMD mounting, low power","1","",""
"","R14, R17","1M","Res size 0805 SMD mounting, low power.
Yageo-RC0805FR-071ML","2","",""
"","R23, R24","220","Res size 0603 SMD mounting, low power","2","",""
"","R26, R27, R28, R29","150","Res size 0603 SMD mounting, low power","4","",""
"","R36","22K","Res size 0603 SMD mounting, low power","1","",""
"","RT1","10K","NTC THERMISTOR 10K for solding a cable from the battery NTC","1","",""
"","U1","","1.0MHZ, 2A STEP-DOWN DC-DC BUCK CONVERTER, with latch-off protection","1","",""
"","U2","LDO 1.8V, 80mA","Fixed output lowdropout linear regulator.
1.8 V 80 mA","1","",""
"","U6","","LMV358IDGKR Dual OpAmp; low voltage rail to rail opamp; 2.7V to 5V Vss; ESD protection; MSOP-8 Package.","1","",""
"","U10","","HX711 load cell amplifier","1","",""
"","U11","","TPD3S014TDBVRQ1 ESD prot. & current limit","1","",""
"4","C1, C14, C34","47pF","Ceramic cap size 0805","3","Microcontroller, LDO Regulator & LDO bypass, [NoParam]","1, 12, [NoParam]"
