Time,Channel A,Channel B
(ms),(V),(mV)

-7.50715930,0.05738005,1.30631200
-7.50460930,0.05249664,-0.28079600
-7.50205930,0.05249664,-0.69588570
-7.49950930,0.05249664,0.54938350
-7.49695930,0.05249664,0.19533630
-7.49440930,0.05738005,-0.14650230
-7.49185930,0.05738005,-0.56159200
-7.48930930,0.05738005,-0.96447320
-7.48675930,0.05738005,-1.86790400
-7.48420930,0.05249664,-1.52606500
-7.48165930,0.04761323,-0.62263460
-7.47910930,0.06348431,0.68367720
-7.47655930,0.05738005,0.54938350
-7.47400930,0.06348431,0.26858750
-7.47145930,0.06348431,-0.28079600
-7.46890930,0.05738005,0.54938350
-7.46635930,0.05738005,0.75692830
-7.46380931,0.05738005,1.15981000
-7.46125931,0.05249664,1.57489900
-7.45870931,0.06836772,1.15981000
-7.45615931,0.05249664,-0.83017950
-7.45360931,0.04761323,-1.17201800
-7.45105931,0.04150897,-0.07325113
-7.44850931,0.04761323,-0.07325113
-7.44595931,0.05738005,-0.41508970
-7.44340931,0.06348431,-0.48834080
-7.44085931,0.05249664,-0.56159200
-7.43830931,0.05738005,-1.79465300
-7.43575931,0.05249664,-1.45281400
-7.43320931,0.05249664,-0.35404710
-7.43065931,0.05249664,0.81797090
-7.42810931,0.05738005,0.61042610
-7.42555931,0.06348431,1.36735400
-7.42300931,0.05249664,0.13429370
-7.42045931,0.04761323,0.40288120
-7.41790931,0.05249664,0.61042610
-7.41535931,0.05738005,1.30631200
-7.41280931,0.06348431,1.09876700
-7.41025931,0.05249664,0.95226470
-7.40770931,0.05249664,-0.96447320
-7.40515931,0.05249664,-1.52606500
-7.40260931,0.03662556,-0.76913680
-7.40005931,0.05249664,-0.76913680
-7.39750931,0.04761323,-0.76913680
-7.39495931,0.06348431,-0.07325113
-7.39240931,0.04761323,0.06104260
-7.38985931,0.05249664,-1.31852000
-7.38730931,0.05738005,-0.76913680
-7.38475931,0.04150897,-0.14650230
-7.38220931,0.04150897,0.95226470
-7.37965931,0.05249664,0.75692830
-7.37710931,0.05738005,1.78244400
-7.37455931,0.05738005,1.02551600
-7.37200931,0.05738005,0.13429370
-7.36945931,0.04761323,-0.28079600
-7.36690931,0.05738005,1.30631200
-7.36435931,0.05249664,0.95226470
-7.36180931,0.05249664,0.34183860
-7.35925931,0.05738005,-0.83017950
-7.35670931,0.06348431,-1.37956300
-7.35415931,0.04761323,-1.37956300
-7.35160931,0.04761323,-1.03772400
-7.34905931,0.05738005,-0.76913680
-7.34650931,0.05738005,0.26858750
-7.34395931,0.05738005,0.34183860
-7.34140931,0.06348431,-0.76913680
-7.33885931,0.05738005,-0.62263460
-7.33630931,0.05738005,0.19533630
-7.33375931,0.04150897,1.09876700
-7.33120931,0.05249664,0.47613230
-7.32865931,0.04761323,1.78244400
-7.32610931,0.06348431,1.36735400
-7.32355931,0.06348431,-0.20754490
-7.32100931,0.04761323,-0.96447320
-7.31845931,0.04761323,0.89122210
-7.31590931,0.05249664,0.26858750
-7.31335931,0.06348431,0.13429370
-7.31080931,0.04761323,-0.83017950
-7.30825931,0.06836772,-1.11097600
-7.30570931,0.04761323,-1.86790400
-7.30315931,0.04761323,-1.11097600
-7.30060931,0.04761323,-0.56159200
-7.29805931,0.05249664,0.34183860
-7.29550931,0.05738005,0.61042610
-7.29295931,0.06348431,0.19533630
-7.29040931,0.04761323,-0.14650230
-7.28785931,0.05249664,0.54938350
-7.28530931,0.04150897,1.02551600
-7.28275931,0.05738005,0.95226470
-7.28020932,0.05738005,1.78244400
-7.27765932,0.06348431,1.36735400
-7.27510932,0.06348431,-0.69588570
-7.27255932,0.04761323,-1.37956300
-7.27000932,0.04150897,-0.14650230
-7.26745932,0.04150897,-0.20754490
-7.26490932,0.05249664,-0.20754490
-7.26235932,0.05738005,-0.41508970
-7.25980932,0.05249664,-0.69588570
-7.25725932,0.05738005,-2.28299400
-7.25470932,0.05738005,-1.31852000
-7.25215932,0.04761323,-0.35404710
-7.24960932,0.04761323,0.75692830
-7.24705932,0.04761323,0.81797090
-7.24450932,0.05249664,0.95226470
-7.24195932,0.05249664,0.40288120
-7.23940932,0.03662556,0.47613230
-7.23685932,0.04761323,0.61042610
-7.23430932,0.04761323,0.81797090
-7.23175932,0.05738005,1.36735400
-7.22920932,0.05249664,1.23306100
-7.22665932,0.05738005,-0.96447320
-7.22410932,0.05738005,-1.58710800
-7.22155932,0.05249664,-0.96447320
-7.21900932,0.04761323,-0.69588570
-7.21645932,0.04761323,-0.76913680
-7.21390932,0.04150897,-0.20754490
-7.21135932,0.04761323,-0.28079600
-7.20880932,0.05738005,-1.52606500
-7.20625932,0.04761323,-1.45281400
-7.20370932,0.05249664,0.06104260
-7.20115932,0.04761323,1.09876700
-7.19860932,0.04761323,0.89122210
-7.19605932,0.05249664,1.44060600
-7.19350932,0.04761323,0.89122210
-7.19095932,0.04761323,0.13429370
-7.18840932,0.04150897,0.00000000
-7.18585932,0.04150897,1.02551600
-7.18330932,0.05738005,0.61042610
-7.18075932,0.05249664,0.81797090
-7.17820932,0.05738005,-0.76913680
-7.17565932,0.05249664,-1.45281400
-7.17310932,0.05738005,-1.86790400
-7.17055932,0.04761323,-1.03772400
-7.16800932,0.04761323,-0.76913680
-7.16545932,0.05249664,0.13429370
-7.16290932,0.04761323,0.00000000
-7.16035932,0.05249664,-0.83017950
-7.15780932,0.05249664,-0.76913680
-7.15525932,0.04761323,0.26858750
-7.15270932,0.05249664,1.02551600
-7.15015932,0.05738005,0.95226470
-7.14760932,0.06348431,1.72140100
-7.14505932,0.06348431,1.15981000
-7.14250932,0.05738005,-0.14650230
-7.13995932,0.05738005,-0.76913680
-7.13740932,0.04150897,0.61042610
-7.13485932,0.04150897,0.00000000
-7.13230932,0.05738005,0.19533630
-7.12975932,0.06348431,-1.03772400
-7.12720932,0.06348431,-1.03772400
-7.12465932,0.06348431,-2.20974200
-7.12210932,0.04761323,-1.37956300
-7.11955932,0.05738005,-0.62263460
-7.11700932,0.05249664,0.95226470
-7.11445932,0.06836772,0.61042610
-7.11190932,0.05249664,0.00000000
-7.10935932,0.05738005,-0.41508970
-7.10680932,0.05249664,0.68367720
-7.10425932,0.05249664,0.61042610
-7.10170932,0.04761323,0.75692830
-7.09915932,0.05249664,1.72140100
-7.09660932,0.06836772,1.23306100
-7.09405933,0.05738005,-0.56159200
-7.09150933,0.05249664,-1.31852000
-7.08895933,0.04761323,0.00000000
-7.08640933,0.05738005,-0.35404710
-7.08385933,0.05738005,-0.28079600
-7.08130933,0.05738005,-0.76913680
-7.07875933,0.05738005,-0.41508970
-7.07620933,0.06836772,-2.34403600
-7.07365933,0.06348431,-1.66035900
-7.07110933,0.04761323,-0.41508970
-7.06855933,0.04761323,0.81797090
-7.06600933,0.05249664,0.68367720
-7.06345933,0.06348431,0.75692830
-7.06090933,0.05738005,0.26858750
-7.05835933,0.05249664,0.40288120
-7.05580933,0.04761323,0.61042610
-7.05325933,0.04761323,0.95226470
-7.05070933,0.04150897,1.36735400
-7.04815933,0.05738005,0.75692830
-7.04560933,0.04761323,-0.76913680
-7.04305933,0.05738005,-1.66035900
-7.04050933,0.04150897,-0.90343060
-7.03795933,0.04761323,-0.69588570
-7.03540933,0.05249664,-0.62263460
-7.03285933,0.06348431,-0.41508970
-7.03030933,0.05249664,0.13429370
-7.02775933,0.05738005,-1.92894600
-7.02520933,0.05738005,-1.31852000
-7.02265933,0.04761323,0.19533630
-7.02010933,0.04761323,1.02551600
-7.01755933,0.05738005,0.47613230
-7.01500933,0.05738005,1.36735400
-7.01245933,0.04150897,0.81797090
-7.00990933,0.05249664,0.13429370
